,user_id,sex,years,relation,city,country
0,33186,1,27.838023335621138,,Санкт-Петербург,Россия
1,36415,2,,,Ставрополь,Россия
2,37259,1,,,Москва,Россия
3,63923,1,,0.0,Санкт-Петербург,Россия
4,71914,2,37.00754975978037,,Санкт-Петербург,Россия
5,160308,1,,,Санкт-Петербург,Россия
6,202190,1,,7.0,Казань,Россия
7,225365,2,,,,
8,235404,1,32.288263555250516,,Архангельск,Россия
9,236711,2,,0.0,Москва,Россия
10,256110,1,28.153740562800273,,Казань,Россия
11,269126,1,,0.0,Белгород,Россия
12,280926,2,,,Коряжма,Россия
13,281782,2,,4.0,Москва,Россия
14,304252,2,28.98284145504461,,Москва,Россия
15,369818,1,29.084420041180508,,Санкт-Петербург,Россия
16,382491,1,,,Иваново,Россия
17,417914,1,32.49965682910089,,Костомукша,Россия
18,423598,1,,,Екатеринбург,Россия
19,455548,1,,4.0,Санкт-Петербург,Россия
20,467709,1,,4.0,,Россия
21,478070,1,,,,Россия
22,506753,1,,,Чебоксары,Россия
23,518934,2,31.01990391214825,,Павлово,Россия
24,531359,1,,0.0,Санкт-Петербург,Россия
25,569663,1,,7.0,Уфа,Россия
26,571574,1,,,Сочи,Россия
27,594540,1,,,Санкт-Петербург,Россия
28,604396,1,,,,
29,609579,2,,,Москва,Россия
30,648320,1,,0.0,Воронеж,Россия
31,652691,1,,,Йошкар-Ола,Россия
32,657236,1,,,Санкт-Петербург,Россия
33,673666,1,28.702814001372683,7.0,Казань,Россия
34,676897,2,30.967741935483872,4.0,Самара,Россия
35,699388,1,,,Новосибирск,Россия
36,724244,2,,,Москва,Россия
37,730935,1,28.420041180507894,,Нижний Новгород,Россия
38,732809,2,34.91557995881949,,Гатчина,Россия
39,742366,1,,,Великий Новгород,Россия
40,752811,1,,,Красноярск,Россия
41,758217,1,,,Ханты-Мансийск,Россия
42,772153,1,,,,Россия
43,793260,1,28.32395332875772,,Домодедово,Россия
44,801360,1,27.35483870967742,,Екатеринбург,Россия
45,812486,1,,0.0,Сургут,Россия
46,827095,1,,2.0,,Россия
47,831156,1,,0.0,Дубна,Россия
48,832925,1,,,Петрозаводск,Россия
49,862735,2,,,,
50,873519,1,,,Санкт-Петербург,Россия
51,884111,1,,,,
52,891065,1,29.048730267673303,,Самара,Россия
53,898823,1,,,Москва,Россия
54,906429,1,37.87783115991764,,Саратов,Россия
55,916385,1,,,Петрозаводск,Россия
56,922125,1,,,Москва,Россия
57,943264,2,30.391214824982843,,Иннополис,Россия
58,954506,2,36.584763212079615,,Киев,Украина
59,957231,1,,,Санкт-Петербург,Россия
60,972727,1,,,Москва,Россия
61,1058399,2,,,Саратов,Россия
62,1079358,1,,,Самара,Россия
63,1098727,1,,4.0,Санкт-Петербург,Россия
64,1178337,1,,0.0,Санкт-Петербург,Россия
65,1178413,2,26.60535346602608,7.0,Псков,Россия
66,1188100,1,,,Вологда,Россия
67,1194074,1,30.932052161976664,0.0,Москва,Россия
68,1211885,1,,,Санкт-Петербург,Россия
69,1217963,2,,,Москва,Россия
70,1253067,1,24.266300617707618,,,
71,1255352,1,,0.0,Пермь,Россия
72,1263668,1,,0.0,,Россия
73,1280727,1,29.369938229238162,0.0,Челябинск,Россия
74,1288897,1,,,Тула,Россия
75,1292512,2,,,Санкт-Петербург,Россия
76,1293624,1,,,Москва,Россия
77,1333362,2,27.925875085792725,1.0,Пермь,Россия
78,1348449,1,29.455044612216884,,Москва,Россия
79,1371101,1,31.011667810569662,,Серпухов,Россия
80,1468986,1,,0.0,Томск,Россия
81,1493119,2,,,Томск,Россия
82,1519741,2,,,Воронеж,Россия
83,1539154,1,,,Москва,Россия
84,1551472,1,33.70761839396019,1.0,Ульяновск,Россия
85,1563194,1,23.997254632807138,1.0,Санкт-Петербург,Россия
