,post_id,date,likes,reposts,comments,text
0,698,1480407159,12,7,3,"10 видеокурсов по основам менеджмента для руководителей, начинающих и не только.
Времени у руководителей немного, поэтому все курсы разбиты на небольшие уроки до 10 минут.

Основные навыки менеджмента
Навыки руководителя сами собой не появляются, а результат зачастую нужен здесь и сейчас.
https://goo.gl/j62Gk6

Эффективный руководитель
Про главные задачи и функции эффективного руководителя
https://goo.gl/DbG78s

Ситуационное лидерство — когда нужен универсальный стиль руководства
Ты можешь использовать любой из стилей лидерства в зависимости от ситуации!
https://goo.gl/7womTo

Эффективная деловая коммуникация
Как сделать коммуникацию на работе более результативной?
https://goo.gl/3fvcMu

Ответственность
Как развивать ответственность в себе и в других?
https://goo.gl/ChltIx

Научись искусству влияния!
На курсе ты узнаешь о типологии людей и о способах влияния на них
https://goo.gl/QYYMRg

Навыки эффективной обратной связи
Как давать обратную связь подчиненным?
https://goo.gl/D1EObP

Базовые принципы лидерства
Как стать не просто начальником, но лидером?
https://goo.gl/Lnmuuf

Женское лидерство: принимаю новую себя
Женщиной быть непросто. А женщиной‑лидером – тем более!
https://goo.gl/J1FGdz

Стресс‑менеджмент
Руководить другими — это почти всегда стресс. И его нельзя оставлять без внимания.
https://goo.gl/y1pX82

#менеджмент #лидерство #руководитель #подборка #курсы_talentedme"
1,728,1481363739,1,0,0,"#куспеху@talentedme #прокрастинация #цитата

Здесь вы найдете много мотивирующих цитат https://goo.gl/TDC0aU"
2,725,1481356051,11,4,2,"[10 УРОКОВ ДЛЯ ВАШЕЙ КАРЬЕРЫ ]
Распечатайте и повесьте на стену!

Легко смотреть на людей, у которых карьера идёт в гору соразмерно с зарплатой, и завистливо вздыхать. Сложнее остановиться и задуматься о том, что же пошло не так, и суметь вовремя это исправить. 

1. Жизнь коротка

Как бы банально это ни звучало, но у вас всегда есть выбор. И свою короткую жизнь не стоит тратить на то, чтобы вкалывать на ненавистной работе или слушаться начальника‑самодура.

2. Налаживайте связи

Все эти собрания, встречи, тимбилдинги и другие мероприятия, названные модными иностранными словечками, означают одно и то же. Вы должны провести какое‑то время вместе со своими коллегами, обсуждая работу или занимаясь общим делом. Несмотря на то что подобные мероприятия кажутся скучными или даже чужеродными, вам стоит уделять им больше внимания.
Многие успешные люди имеют очень широкий круг общения. Чем больше времени вы уделите тому, чтобы знакомиться с профессионалами, тем успешнее вы будете.

3. Не жертвуйте здоровьем ради карьеры

Ощущение драйва от работы заставляет нас позабыть обо всём, поймать волну вдохновения и уделять задачам невероятное количество времени. Такое поведение приводит к выгоранию, серьёзным проблемам со здоровьем, стрессу и переутомлению.

4. Монитор и бумаги — это не лучшее, что с вами случалось

Представим себе такую картину. Вы наконец‑то собрались со своими старыми друзьями и за бокалом пива начинаете ностальгировать: «А помнишь, как ты сидел и смотрел в монитор ЧАСАМИ! Помнишь? А как я когда‑то 18 часо‑о-ов в Slack переписывался по проекту. Были же времена!»

5. Не прекращайте учиться

Технологии крадут не только наше время и внимание, но и ощущение реальности. Когда Google и энциклопедии под рукой, легко почувствовать себя умным. Но это лишь видимость. Вам нельзя расслабляться и останавливаться в обучении. Мир двигается вперёд с сумасшедшей скоростью, и, если вы в какой‑то момент подумаете: «Хватит учиться», тут‑то и проиграете.

6. Не зацикливайтесь на чём‑то одном

Когда будете учиться, не концентрируйте внимание на одной сфере или дисциплине. Обязательно пробуйте новые для себя занятия.
Кроме того, у вас будет несколько профессий на выбор. Ведь не за горами тот момент, когда водителей такси заменят автопилоты, а специалистов по работе с клиентами — чат‑боты. Многим придётся искать другую работу.

7. Вместе проще достигать целей

Каким бы волком‑одиночкой вы ни были, придётся принять ещё один совет на веру: в команде работать намного проще, результативнее, быстрее. Какой бы великолепной и гениальной ни была ваша идея, вам просто необходимы те, кто возьмётся за её исполнение.

8. Переживаниями делу не поможешь

Противоядие страху и апатии — поиск решения и действие. Если вы проводите очень много времени за тем, что просто боитесь предложить свою идею или представить результаты своей работы, вот вам пища для размышления. Кто‑то сделает это за вас.

9. Проиграть не значит сдаться

Не спешите ставить на себе клеймо неудачника и опускать руки. Заезженная фраза о том, что каждая неудача — это новая возможность, может быть, вам и не нравится, но обязательно понадобится. У нас не принято хвастаться своими провалами. Но извлекать из них пользу придётся научиться. Иначе вы остановитесь в профессиональном развитии и никогда не достигнете успеха.

10. Счастье — это путешествие, а не пункт назначения

Мы всегда думаем что‑то вроде: «Вот похудею — буду счастлива», «Вот получу повышение и наконец‑то стану счастливым». Но это такой способ обмануть себя. Если вы не умеете быть счастливым, то и большая зарплата не поможет.

Счастье — это привычка и дело выбора. Независимо от ситуации.
Многие люди остаются счастливыми несмотря на скромные условия жизни, трудную работу или неблагоприятные обстоятельства. Они продолжают развиваться и двигаться вперёд. Вам стоит делать так же.

Дорогу осилит счастливый идущий.
Какой совет вы бы добавили к этому списку?

Источник https://goo.gl/n9ZVKg
#будущее #арсенал_talentedme #успех #карьера"
3,724,1481263024,6,3,0,"[КАК ВЫЙТИ ИЗ ТВОРЧЕСКОГО КРИЗИСА?]
Советы от гениев
 
#креативность #куспеху_talentedme #творчество #кризис
 
Здесь вы найдете много мотивирующих цитат https://talentedme.ru/thebest/cite.php/index?utm_source=facebook&utm_medium=smm&utm_campaign=citaty"
4,722,1481204686,6,1,0,"Здесь вы найдете много мотивирующих цитат https://goo.gl/SMwMVa

#цитата #куспеху@talentedme #успех #афоризм #Сартр"
5,721,1481189537,1,0,0,"[ПРАВИЛА ВЫЖИВАНИЯ НА НОВОЙ РАБОТЕ]

Правило первое. Откроем чакры и успокоимся.
Итак, вы первый день восседаете на новом стуле и сразу хотите поразить новое руководство своими недюжинными талантами. Ничего не выйдет. Вы находитесь в состоянии стресса.

Когда в таком подвешенном состоянии вы пытаетесь доказать, что вы лучший, — это приводит к лишней суете. 

Правило второе. Задаём вопросы и греем уши.
А вот информация будет литься на вас нескончаемым потоком. И удержать большую её часть в голове — вот задача номер один в первые дни работы.

Правило четвертое. Не надо сплетен. 
Перемывание косточек — занятие недостойное. А уж для нового сотрудника просто недопустимое.
Не разговаривайте на личные темы по мобильному, а тем более по служебному телефону. В крайнем случае следует выйти из рабочего помещения.

Правило пятое. Не опаздывайте. 
Помним, точность — вежливость королей!
Не засиживайтесь допоздна. Вечерние посиделки, скорее всего, означают, что вы не можете правильно распланировать свой рабочий день или пытаетесь выслужиться перед начальством. Ни то, ни другое вам не зачтется.
Конечно, бежать сломя голову, как только стрелки достигли шести вечера тоже не стоит. Соблюдаем баланс.

Помните, любая организация — это сложнейший механизм. И стать его полноценным винтиком вы сможете только через несколько месяцев. Надеемся, эти правила помогут вам провести эти месяцы без лишних нервов!

А если ты сейчас находишься в поиске работы, то тебе поможет видео‑курс “Навигатор на рынке труда”

https://goo.gl/N9HdkV

#будущее #арсенал@talentedme #новаяработа #карьера

По материалам https://goo.gl/qyjBKQ"
6,720,1481176440,0,0,0,"[ОПРОС] 
 
Работать на себя или быть винтиком в большой корпорации? 

#опрос #опрос_talentedme #вопрос"
7,718,1481110914,6,3,0,"Не пускайте управление вашей карьерой на самотек! Не ждите, что все как‑нибудь удачно сложится, коллега уволится, а вам предложат его место. Или внезапно начнут расширять отдел и сделают вас начальником. Управление собственной карьерой нужно держать в своих руках.

Как спланировать свою карьеру?

Смотрите наш видеокурс с Екатериной Грачевой.
https://goo.gl/yDtwlh

#будущее #курсы@talentedme #успех #видеокурс #карьера"
8,717,1481091020,3,1,0,"Друзья, в рубрике “Блиц-опрос” мы будем ближе знакомить вас с бизнес-тренерами, которые обучают и развивают вас на портале TalentedMe!
И сегодня мы решили устроить блиц-опрос для Дмитрия Якушева, автора нашего самого популярного курса “ТОП 20 формул Excel”
https://goo.gl/MSzxjB

Мы задали Дмитрию несколько коротких вопросов. Надеемся, что его ответы вдохновят вас на дальнейшее обучение и подвиги!

САМЫЙ МУДРЫЙ СОВЕТ, КОТОРЫЙ ВЫ СЛЫШАЛИ?
Занимайся тем, что у тебя получается лучше всего, и никогда не останавливайся на достигнутом.

ЧЕРЕЗ 10 ЛЕТ Я БЫ ХОТЕЛ...
Продолжать быть счастливым мужем и получить статус MVP (Most Valuable Professional - номинация Microsoft).

ТЕМ, КТО ОПУСТИЛ РУКИ, Я СОВЕТУЮ...
Передохнуть 2 минуты и продолжить свои попытки.

САМЫЕ ЛУЧШИЕ ИДЕИ ПРИХОДЯТ ПОСЛЕ...
Недели напряжённой работы и одного дня отдыха.

В МОЛОДОСТИ ЧЕЛОВЕК ЗНАЕТ ВСЕ, КРОМЕ...
того, что молодость заканчивается.

ONLINE ОБРАЗОВАНИЕ ЭТО…
Будущее.

В 2017 ГОДУ КАЖДЫЙ ДОЛЖЕН НАУЧИТЬСЯ…
Учиться.

EXCEL – ВАЖНАЯ ТЕМА ПОТОМУ ЧТО...
Excel повсюду).

Кстати, недавно Дмитрий выпустил приложение для изучения Excel с мобильного телефона!
Скачать его можно здесь https://goo.gl/UzmQJi

#excel #блиц@talentedme #блицопрос #видеокурс #бизнестренер"
9,715,1481031529,7,3,0,"Как заставить себя выполнить то, что совсем‑совсем не хочется делать?

 Да что там делать, даже думать об это не хочется!
Предлагаем вам еще несколько интересных советов, которые реально работают.

1)Не думайте об этом долго. Выполняйте неприятную работу как можно быстрее

Чем больше вы думаете о том, что вам предстоит выполнить какую‑то неприятную работу, тем сложнее собраться и приступить к ней. 

2)Найдите альтернативные пути выполнения
Поинтересуйтесь у коллег или друзей, как они бы решали эту проблему. 

3) Разбейте задание на отдельные небольшие задачи

4) Похвалите себя перед тем, как приступить к выполнению задачи
Помните, что если вы смогли заставить себя приступить к выполнению сложного задания — вы уже сделали то, что многим не под силу без пинка со стороны. Гордитесь собой!

5)Вспомните о своем прошлом опыте
Все мы раньше сталкивались с задачами, которые нам было сложно выполнить и я уверена, что на вашем счету есть много выигранных боев со своим внутренним голосом, которые нашептывал сладкое «не хочу, не могу, а можно я сделаю это немного позже?!». 

Делайте то, что больше всего не хочется, в первую очередь и будете чувствовать себя героями, так как утерли нос своему внутреннему голосу прокрастинации ;) 

А как вы заставляете себя работать над скучным или сложным проектом, отчетом, уборкой — список можно продолжать до бесконечности? Какие ваши фирменные уловки?

#лайфхаки #арсенал@talentedme #успех #прокрастинация

По материалам https://goo.gl/U1YyrA"
